date,total_min_2,total_min_1,total_mean,total_max_1,total_max_2,google_reviews
2020-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03 00:00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,4525.0
2020-06-18 00:00:00,1556669.5267700604,1484358.7288186268,1415908.2133598104,1350829.7219014522,1288690.786879061,18142.0
2020-06-19 00:00:00,1568858.9605181918,1495981.9359748291,1426995.4217000387,1361407.3359145494,1298781.8246352142,18400.0
2020-06-20 00:00:00,1605063.3980686115,1530504.5960357862,1459926.0852777318,1392824.428281808,1328753.7128960271,18871.0
2020-06-21 00:00:00,1633687.3419945715,1557798.8934374144,1485961.7187930942,1417663.4024817182,1352450.0801642071,19260.0
2020-06-22,1657823.6336948515,1580814.0001447196,1507915.4945115563,1438608.1307265572,1372431.3390047487,19592.0
